[Tuesday/February 17/02/2026 20:57:25] /home/yannik/Videos/2026-01-12 19-57-03.mp4 | length=825.46666666667 | time=0 | clip=paste
[Tuesday/February 17/02/2026 20:58:16] /home/yannik/Videos/OBS/2025-12-14 15-48-42.mp4 | length=1293.8166666667 | time=0 | clip=paste
[Friday/March 06/03/2026 19:31:45] /run/user/1000/doc/1d86d7b6/1. Ace Ventura - Pet Detective (1994) (Eng Dub).mkv | length=5160.19 | time=2.461 | clip=copy
[Friday/March 06/03/2026 19:31:45] /run/user/1000/doc/1d86d7b6/1. Ace Ventura - Pet Detective (1994) (Eng Dub).mkv | length=5160.19 | time=3.003 | clip=copy
[Friday/March 06/03/2026 19:31:47] /run/user/1000/doc/1d86d7b6/1. Ace Ventura - Pet Detective (1994) (Eng Dub).mkv | length=5160.19 | time=4.463 | clip=copy
[Friday/March 06/03/2026 19:31:53] /run/user/1000/doc/1d86d7b6/1. Ace Ventura - Pet Detective (1994) (Eng Dub).mkv | length=5160.19 | time=10.594 | clip=copy
[Friday/March 06/03/2026 19:33:09] /run/user/1000/doc/1d86d7b6/1. Ace Ventura - Pet Detective (1994) (Eng Dub).mkv | length=5160.19 | time=0 | clip=copy
[Tuesday/March 10/03/2026 10:58:37] https://drive.proton.me/urls/KY3DN1Z4VM#gwm3jUIH65tM | length=nil | time=0 | clip=paste
[Sunday/March 29/03/2026 00:35:04] /home/yannik/Desktop/UNUSED BEATS/Unused Beats with License/CASCADE prod. David Linhof/CASCADE-Mac-Miller--J-Cole--Boom-Bap.wav | length=166.45160416667 | time=105.09722222222 | clip=copy
[Sunday/March 29/03/2026 17:57:17] /home/yannik/Desktop/UNUSED BEATS/Unused Beats with License/Cant Complain prod. Toni/Cant-Complain--Mac-Miller-type-beat.wav | length=212.05480725624 | time=15.611111111111 | clip=copy
[Sunday/March 29/03/2026 17:59:08] /home/yannik/Desktop/UNUSED BEATS/Unused Beats with License/Cant Complain prod. Toni/Cant-Complain--Mac-Miller-type-beat.wav | length=212.05480725624 | time=0 | clip=paste
[Friday/May 22/05/2026 01:40:20] /run/user/1000/doc/2aae1027/Off.Campus.S01E04.The.Breakup.1080p.WEB-HD.x265.6CH-Pahe.in.mkv | length=3224.318 | time=0 | clip=copy
[Wednesday/June 10/06/2026 16:02:59] https://matrix.org/try-matrix/ | length=2250.238 | time=0 | clip=paste
