[Tuesday/February 17/02/2026 20:58:53] /home/yannik/Videos/OBS/2025-12-14 15-48-42.mp4 | length=50.65 | time=0.38333333333333
[Tuesday/February 17/02/2026 20:58:53] /home/yannik/Videos/OBS/2025-11-26 01-01-12.mp4 | length=63.066666666667 | time=0.25
[Tuesday/February 17/02/2026 20:59:16] /home/yannik/Videos/OBS/2025-10-19 01-40-34.mp4 | length=67.616666666667 | time=40.5
[Tuesday/February 17/02/2026 21:04:29] /home/yannik/Videos/OBS/2025-10-18 23-38-41.mkv | length=2.197 | time=2.171
[Tuesday/February 17/02/2026 21:04:35] /home/yannik/Videos/OBS/2025-10-19 01-36-01.mp4 | length=18.083333333333 | time=5.8166666666667
[Tuesday/February 17/02/2026 21:16:38] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/04. 2 Chainz & Lil Wayne - Presha.mp3 | length=185.05839002268 | time=129.17555626417
[Tuesday/February 17/02/2026 21:17:11] /home/yannik/Videos/OBS/2025-10-19 01-36-01.mp4 | length=18.083333333333 | time=18.066666666667
[Tuesday/February 17/02/2026 21:18:24] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/03. 2 Chainz & Lil Wayne - Big Diamonds (ft. 21 Savage).mp3 | length=199.59632653061 | time=199.39102251222
[Tuesday/February 17/02/2026 21:18:29] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/04. 2 Chainz & Lil Wayne - Presha.mp3 | length=185.05839002268 | time=132.78130659943
[Tuesday/February 17/02/2026 21:20:39] /home/yannik/Videos/OBS/2025-11-25 18-31-54.mp4 | length=42.9 | time=7.05
[Tuesday/February 17/02/2026 21:20:59] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/06. 2 Chainz & Lil Wayne - Scene 2 - Duffle Bag Boys.mp3 | length=29.233766666667 | time=15.886055130386
[Tuesday/February 17/02/2026 21:20:59] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/07. 2 Chainz & Lil Wayne - Millions From Now.mp3 | length=139.85812222222 | time=7.0861678008738e-07
[Tuesday/February 17/02/2026 21:21:00] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/09. 2 Chainz & Lil Wayne - Transparency (ft. Usher).mp3 | length=195.09446712018 | time=7.0861678008738e-07
[Tuesday/February 17/02/2026 21:21:00] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/10. 2 Chainz & Lil Wayne - Significant Other.mp3 | length=263.66689342404 | time=7.0861678008738e-07
[Tuesday/February 17/02/2026 21:21:08] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/11. 2 Chainz & Lil Wayne - Scene 3 - Ladies Man.mp3 | length=31.543877777778 | time=7.1555705117189
[Tuesday/February 17/02/2026 21:21:11] /mnt/Data/Music_Collection/3rd Bass/Derelicts of Dialect (1991)/01. 3rd Bass - The Merchant Of Grooves.mp3 | length=97.593458333333 | time=2.01429207561
[Tuesday/February 17/02/2026 21:26:49] /home/yannik/Videos/OBS/2025-10-19 01-41-49.mp4 | length=137.48333333333 | time=16.366666666667
[Tuesday/February 17/02/2026 21:26:57] /home/yannik/Videos/OBS/2025-10-19 01-41-49.mp4 | length=137.48333333333 | time=17.85
[Tuesday/February 17/02/2026 21:28:46] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/08. 2 Chainz & Lil Wayne - Crazy Thick.mp3 | length=176.89474444444 | time=15.59979424932
[Tuesday/February 17/02/2026 21:28:54] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/08. 2 Chainz & Lil Wayne - Crazy Thick.mp3 | length=176.89474444444 | time=19.958299135202
[Tuesday/February 17/02/2026 21:31:06] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/08. 2 Chainz & Lil Wayne - Crazy Thick.mp3 | length=176.89474444444 | time=18.152289547016
[Tuesday/February 17/02/2026 21:31:09] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/21. 2 Chainz & Lil Wayne - Moonlight (ft. Marsha Ambrosius).mp3 | length=228.12519274376 | time=0.49421426223809
[Tuesday/February 17/02/2026 21:31:19] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/01. 2 Chainz & Lil Wayne - Scene 1 - Welcome 2 Collegrove.mp3 | length=49.155422222222 | time=9.0205829874241
[Tuesday/February 17/02/2026 21:32:19] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/01. 2 Chainz & Lil Wayne - Scene 1 - Welcome 2 Collegrove.mp3 | length=49.155422222222 | time=20.268202433891
[Tuesday/February 17/02/2026 21:48:29] /home/yannik/Videos/OBS/2025-10-19 01-40-34.mp4 | length=67.616666666667 | time=67.6
[Tuesday/February 17/02/2026 21:48:30] /home/yannik/Videos/OBS/2025-10-19 01-41-49.mp4 | length=137.48333333333 | time=21.433333333333
[Tuesday/February 17/02/2026 21:50:05] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/03. 2 Chainz & Lil Wayne - Big Diamonds (ft. 21 Savage).mp3 | length=199.59632653061 | time=3.6671633970907
[Tuesday/February 17/02/2026 22:46:18] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/06. 2 Chainz & Lil Wayne - Scene 2 - Duffle Bag Boys.mp3 | length=29.233766666667 | time=16.037530760308
[Tuesday/February 17/02/2026 22:46:18] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/05. 2 Chainz & Lil Wayne - Long Story Short.mp3 | length=210.33868888889 | time=0.63635982613832
[Tuesday/February 17/02/2026 22:46:18] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/04. 2 Chainz & Lil Wayne - Presha.mp3 | length=185.05839002268 | time=111.72414484976
[Tuesday/February 17/02/2026 22:46:18] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/03. 2 Chainz & Lil Wayne - Big Diamonds (ft. 21 Savage).mp3 | length=199.59632653061 | time=21.759239080841
[Tuesday/February 17/02/2026 22:46:18] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/02. 2 Chainz & Lil Wayne - G6.mp3 | length=184.57392290249 | time=0.7667520628254
[Tuesday/February 17/02/2026 22:46:18] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/01. 2 Chainz & Lil Wayne - Scene 1 - Welcome 2 Collegrove.mp3 | length=49.155422222222 | time=23.978809577156
[Tuesday/February 17/02/2026 22:46:51] /mnt/Data/Music_Collection/2 Chainz/2 Chainz & Lil Wayne - Welcome 2 Collegrove (2023)/Cover.jpg | length=0 | time=0
[Wednesday/February 18/02/2026 19:35:31] /run/user/1000/doc/15dad755/Ganz einfach Akustik.mp4 | length=246.53333333333 | time=113.3
[Wednesday/February 18/02/2026 19:55:08] /run/user/1000/doc/51102e8c/1. Home Alone (1990) (Eng Dub).mkv | length=6170.957 | time=4.046
[Wednesday/February 18/02/2026 19:55:08] /run/user/1000/doc/51102e8c/1. Home Alone (1990) (Eng Dub).mkv | length=6170.957 | time=0
[Wednesday/February 18/02/2026 19:55:14] /run/user/1000/doc/9d3c92a0/4. Home Alone 4 - Taking Back the House (2002) (Eng Dub).mkv | length=5037.598 | time=4678.757
[Wednesday/February 18/02/2026 19:56:23] /run/user/1000/doc/308758e6/Wicked (2024) (Eng Dub).mkv | length=9610.622 | time=0.792
[Wednesday/February 18/02/2026 19:57:25] /run/user/1000/doc/9df78f36/300 - Rise of an Empire (2014) (Eng Dub).mkv | length=6156.736 | time=5014.593
[Wednesday/February 18/02/2026 23:02:20] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/Dezember Vertical/BOUNCE/#11_Dezember_Vertical_D07-M02-Y26_4K-FLAC.mp4 | length=20.064 | time=3.2833333333333
[Wednesday/February 18/02/2026 23:03:33] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/Ganz bestimmt Vertical/EXP/#1_Ganz bestimmt_Vertical_D04-M02-Y26_4K-60FPS-FLAC.mp4 | length=28.032 | time=8.2833333333333
[Wednesday/February 18/02/2026 23:07:03] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/Mosaik Vertical/EXPORT/#13_Mosaik_Vertical_D12-M02-Y26_4K-60FPS-FLAC.mp4 | length=19.68 | time=3.1666666666667
[Wednesday/February 18/02/2026 23:08:17] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/Regen Vertical/EXP/#3_Regen_Vertical_D05-M02-Y26_4K-60FPS-libx264-FLAC.mp4 | length=51.552 | time=48.083333333333
[Thursday/February 19/02/2026 23:03:21] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/1. Wer ich bin/EXP/#2_Wer ich bin_Vertical_D18-M02-Y26_4K-60FPS-FLAC.mp4 | length=12.768 | time=5.5833333333333
[Thursday/February 19/02/2026 23:03:45] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/Mosaik Vertical/EXPORT/#13_Mosaik_Vertical_D12-M02-Y26_4K-60FPS-FLAC.mp4 | length=19.68 | time=16.25
